"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
455.671433434,0.000981730769231,455.671433434,0.000772836538462
455.880921784,0.000994230769231,455.880921784,0.000801923076923
456.090398526,0.00141923076923,456.090398526,0.000867548076923
456.299863658,0.00129735576923,456.299863658,0.000970673076923
456.509317177,0.00128798076923,456.509317177,0.000846634615385
456.71875908,0.00118485576923,456.71875908,0.000940384615385
456.928189364,0.00176298076923,456.928189364,0.00121225961538
457.137608027,0.00168774038462,457.137608027,0.00105576923077
457.347015066,0.00160673076923,457.347015066,0.00106754807692
457.556410478,0.00123485576923,457.556410478,0.000394951923077
457.76579426,0.00168798076923,457.76579426,0.00123004807692
457.97516641,0.00136610576923,457.97516641,0.00104567307692
458.184526925,0.00174423076923,458.184526925,0.000868028846154
458.393875802,0.00121923076923,458.393875802,0.000889423076923
458.603213039,0.000978605769231,458.603213039,0.000793269230769
458.812538632,0.00182235576923,458.812538632,0.00120192307692
459.021852579,0.00133317307692,459.021852579,0.0006875
459.231154877,0.00123798076923,459.231154877,0.000757211538462
459.440445523,0.00117860576923,459.440445523,0.00134038461538
459.649724515,0.00113485576923,459.649724515,0.000696875
459.85899185,0.00156610576923,459.85899185,0.00113004807692
460.068247525,0.00205360576923,460.068247525,0.00136442307692
460.277491537,0.00135048076923,460.277491537,0.000745913461538
460.486723884,0.00147860576923,460.486723884,0.000851923076923
460.695944562,0.00139735576923,460.695944562,0.00103629807692
460.90515357,0.00167860576923,460.90515357,0.00119879807692
461.114350904,0.00137860576923,461.114350904,0.000812259615385
461.323536562,0.00112860576923,461.323536562,0.00135504807692
461.53271054,0.00145048076923,461.53271054,0.000780048076923
461.741872836,0.000778605769231,461.741872836,0.00111947115385
461.951023448,0.00127235576923,461.951023448,0.000849519230769
462.160162373,0.00143485576923,462.160162373,0.000755769230769
462.369289607,0.00153173076923,462.369289607,0.00102139423077
462.578405148,0.00134735576923,462.578405148,0.00139254807692
462.787508993,0.00119735576923,462.787508993,0.000698798076923
462.99660114,0.000928605769231,462.99660114,0.000801923076923
463.205681586,0.00112860576923,463.205681586,0.000674278846154
463.414750328,0.00132692307692,463.414750328,0.000959134615385
463.623807363,0.00102211538462,463.623807363,0.000610817307692
463.832852688,0.00100216346154,463.832852688,0.000699519230769
464.041886302,0.000931730769231,464.041886302,0.000563942307692
464.2509082,0.00111610576923,464.2509082,0.000740384615385
464.45991838,0.000845913461538,464.45991838,0.000515865384615
464.66891684,0.00117548076923,464.66891684,0.000647596153846
464.877903577,0.00114735576923,464.877903577,0.000746153846154
465.086878588,0.000842307692308,465.086878588,0.000715384615385
465.29584187,0.00107596153846,465.29584187,0.000811538461538
465.50479342,0.00108149038462,465.50479342,0.000849759615385
465.713733237,0.00102235576923,465.713733237,0.000973798076923
465.922661316,0.00104399038462,465.922661316,0.000628365384615
466.131577655,0.00123485576923,466.131577655,0.00103822115385
466.340482252,0.000969230769231,466.340482252,0.000763701923077
466.549375103,0.00116971153846,466.549375103,0.000846634615385
466.758256207,0.000600240384615,466.758256207,0.000548317307692
466.96712556,0.00124735576923,466.96712556,0.00107067307692
467.175983159,0.000781009615385,467.175983159,0.000942548076923
467.384829001,0.000836298076923,467.384829001,0.000593269230769
467.593663085,0.000903605769231,467.593663085,0.000497355769231
467.802485407,0.00113798076923,467.802485407,0.000893028846154
468.011295964,0.00103173076923,468.011295964,0.000883173076923
468.220094754,0.000962740384615,468.220094754,0.000713221153846
468.428881774,0.00101274038462,468.428881774,0.000729567307692
