"Latest: Time (s)","Latest: Temperature (°C)"
540.5,23.6245158957
541,23.6245158957
541.5,23.6245158957
542,23.6245158957
542.5,23.6245158957
543,23.6245158957
543.5,23.6245158957
544,23.6245158957
544.5,23.6245158957
545,23.6245158957
545.5,23.6245158957
546,23.6245158957
546.5,23.6245158957
547,23.6245158957
547.5,23.6245158957
548,23.6245158957
548.5,23.6245158957
549,23.6245158957
549.5,23.6245158957
550,23.6245158957
550.5,23.6870158967
551,23.6870158967
551.5,23.6870158967
552,23.6870158967
552.5,23.6870158967
553,23.6870158967
553.5,23.6870158967
554,23.6870158967
554.5,23.6870158967
555,23.6870158967
555.5,23.6870158967
556,23.6870158967
556.5,23.6870158967
557,23.6870158967
557.5,23.6870158967
558,23.6870158967
558.5,23.6870158967
559,23.6870158967
559.5,23.6870158967
560,23.6870158967
560.5,23.6870158967
561,23.6245158957
561.5,23.6870158967
562,23.6870158967
562.5,23.6870158967
563,23.6245158957
563.5,23.6870158967
564,23.6870158967
564.5,23.6870158967
565,23.6870158967
565.5,23.6870158967
566,23.6870158967
566.5,23.6870158967
567,23.6870158967
567.5,23.6870158967
568,23.6870158967
568.5,23.6870158967
569,23.6870158967
569.5,23.6870158967
570,23.6870158967
570.5,23.6870158967
571,23.6870158967
571.5,23.6870158967
572,23.6870158967
572.5,23.6870158967
573,23.6870158967
573.5,23.6870158967
574,23.6870158967
574.5,23.6870158967
575,23.6870158967
575.5,23.6870158967
576,23.6870158967
576.5,23.6870158967
577,23.6870158967
577.5,23.6870158967
578,23.6870158967
578.5,23.6870158967
579,23.6870158967
579.5,23.6870158967
580,23.6870158967
580.5,23.6870158967
581,23.6870158967
581.5,23.6870158967
582,23.6870158967
582.5,23.6870158967
583,23.6870158967
583.5,23.6870158967
584,23.6870158967
584.5,23.6870158967
585,23.6870158967
585.5,23.6870158967
586,23.6870158967
586.5,23.6870158967
587,23.6870158967
587.5,23.6870158967
588,23.6870158967
588.5,23.6870158967
589,23.6870158967
589.5,23.6870158967
590,23.6870158967
590.5,23.6870158967
591,23.6870158967
591.5,23.6870158967
592,23.6870158967
592.5,23.6870158967
593,23.6870158967
593.5,23.6870158967
594,23.6870158967
594.5,23.6870158967
595,23.6870158967
595.5,23.6870158967
596,23.6870158967
596.5,23.6870158967
597,23.6870158967
597.5,23.6870158967
598,23.6870158967
598.5,23.6870158967
599,23.6870158967
599.5,23.6870158967
600,23.6870158967
600.5,23.6870158967
601,23.6870158967
601.5,23.6870158967
602,23.6870158967
602.5,23.6870158967
603,23.6870158967
603.5,23.6870158967
604,23.6870158967
604.5,23.6870158967
605,23.6870158967
605.5,23.6870158967
606,23.6870158967
606.5,23.6870158967
607,23.6870158967
607.5,23.6870158967
608,23.6870158967
608.5,23.6870158967
609,23.6870158967
609.5,23.6870158967
610,23.6870158967
610.5,23.6870158967
611,23.6870158967
611.5,23.6870158967
612,23.6870158967
612.5,23.6870158967
613,23.6870158967
613.5,23.6870158967
614,23.6870158967
614.5,23.6870158967
615,23.6870158967
615.5,23.6870158967
616,23.6870158967
616.5,23.6870158967
617,23.6870158967
617.5,23.6870158967
618,23.6870158967
618.5,23.6870158967
619,23.6870158967
619.5,23.6870158967
620,23.6870158967
620.5,23.6870158967
621,23.6870158967
621.5,23.6870158967
622,23.6870158967
622.5,23.6870158967
623,23.6870158967
623.5,23.6870158967
624,23.6870158967
624.5,23.6870158967
625,23.6870158967
625.5,23.6870158967
626,23.6870158967
626.5,23.6870158967
627,23.6870158967
627.5,23.6870158967
628,23.6870158967
628.5,23.6870158967
629,23.6870158967
629.5,23.6870158967
630,23.6870158967
630.5,23.6870158967
631,23.6870158967
631.5,23.6870158967
632,23.6870158967
632.5,23.6870158967
633,23.6870158967
633.5,23.6870158967
634,23.6870158967
634.5,23.6870158967
635,23.6870158967
635.5,23.6870158967
636,23.6870158967
636.5,23.6870158967
637,23.6870158967
