"group3 - RawData"
"Wavelength nm.","Abs."
581.00,0.019
581.05,0.023
581.10,0.021
581.15,0.023
581.20,0.022
581.25,0.021
581.30,0.021
581.35,0.022
581.40,0.021
581.45,0.020
581.50,0.021
581.55,0.020
581.60,0.022
581.65,0.020
581.70,0.022
581.75,0.021
581.80,0.023
581.85,0.021
581.90,0.021
581.95,0.019
582.00,0.021
582.05,0.020
582.10,0.021
582.15,0.019
582.20,0.019
582.25,0.020
582.30,0.019
582.35,0.018
582.40,0.019
582.45,0.017
582.50,0.018
582.55,0.020
582.60,0.016
582.65,0.018
582.70,0.018
582.75,0.017
582.80,0.016
582.85,0.019
582.90,0.016
582.95,0.015
583.00,0.018
583.05,0.015
583.10,0.015
583.15,0.016
583.20,0.017
583.25,0.015
583.30,0.015
583.35,0.016
583.40,0.015
583.45,0.016
583.50,0.014
583.55,0.015
583.60,0.015
583.65,0.015
583.70,0.014
583.75,0.014
583.80,0.014
583.85,0.013
583.90,0.015
583.95,0.015
584.00,0.015
584.05,0.014
584.10,0.014
584.15,0.013
584.20,0.016
584.25,0.014
584.30,0.016
584.35,0.015
584.40,0.015
584.45,0.019
584.50,0.021
584.55,0.019
584.60,0.020
584.65,0.019
584.70,0.018
584.75,0.020
584.80,0.019
584.85,0.022
584.90,0.022
584.95,0.023
585.00,0.022
585.05,0.021
585.10,0.021
585.15,0.019
585.20,0.021
585.25,0.020
585.30,0.021
585.35,0.018
585.40,0.021
585.45,0.018
585.50,0.019
585.55,0.019
585.60,0.020
585.65,0.018
585.70,0.018
585.75,0.017
585.80,0.017
585.85,0.018
585.90,0.017
585.95,0.018
586.00,0.017
586.05,0.016
586.10,0.016
586.15,0.017
586.20,0.015
586.25,0.018
586.30,0.016
586.35,0.018
586.40,0.015
586.45,0.016
586.50,0.015
586.55,0.015
586.60,0.015
586.65,0.012
586.70,0.014
586.75,0.014
586.80,0.016
586.85,0.013
586.90,0.015
586.95,0.013
587.00,0.016
587.05,0.013
587.10,0.015
587.15,0.014
587.20,0.015
587.25,0.013
587.30,0.013
587.35,0.012
587.40,0.012
587.45,0.015
587.50,0.012
587.55,0.013
587.60,0.011
587.65,0.014
587.70,0.012
587.75,0.012
587.80,0.012
587.85,0.011
587.90,0.013
587.95,0.017
588.00,0.017
588.05,0.017
588.10,0.018
588.15,0.016
588.20,0.017
588.25,0.017
588.30,0.022
588.35,0.021
588.40,0.021
588.45,0.020
588.50,0.020
588.55,0.019
588.60,0.019
588.65,0.019
588.70,0.020
588.75,0.020
588.80,0.018
588.85,0.019
588.90,0.018
588.95,0.016
589.00,0.018
589.05,0.018
589.10,0.018
589.15,0.018
589.20,0.016
589.25,0.017
589.30,0.018
589.35,0.016
589.40,0.016
589.45,0.015
589.50,0.017
589.55,0.014
589.60,0.018
589.65,0.016
589.70,0.016
589.75,0.016
589.80,0.016
589.85,0.015
589.90,0.015
589.95,0.016
590.00,0.013
590.05,0.015
590.10,0.013
590.15,0.015
590.20,0.014
590.25,0.013
590.30,0.014
590.35,0.013
590.40,0.013
590.45,0.012
590.50,0.012
590.55,0.013
590.60,0.014
590.65,0.011
590.70,0.013
590.75,0.011
590.80,0.013
590.85,0.011
590.90,0.014
590.95,0.011
591.00,0.013
591.05,0.012
591.10,0.013
591.15,0.011
591.20,0.011
591.25,0.010
591.30,0.011
591.35,0.011
591.40,0.013
591.45,0.012
591.50,0.012
591.55,0.010
591.60,0.012
591.65,0.015
591.70,0.016
591.75,0.016
591.80,0.019
591.85,0.020
591.90,0.018
591.95,0.020
592.00,0.019
592.05,0.018
592.10,0.017
592.15,0.018
592.20,0.019
592.25,0.018
592.30,0.018
592.35,0.017
592.40,0.017
592.45,0.018
592.50,0.017
592.55,0.017
592.60,0.016
592.65,0.015
592.70,0.016
592.75,0.014
592.80,0.015
592.85,0.017
592.90,0.013
592.95,0.015
593.00,0.015
593.05,0.015
593.10,0.015
593.15,0.016
593.20,0.014
593.25,0.014
593.30,0.011
593.35,0.015
593.40,0.014
593.45,0.014
593.50,0.014
593.55,0.013
593.60,0.014
593.65,0.014
593.70,0.013
593.75,0.013
593.80,0.014
593.85,0.013
593.90,0.013
593.95,0.012
594.00,0.014
594.05,0.010
594.10,0.013
594.15,0.012
594.20,0.013
594.25,0.010
594.30,0.013
594.35,0.012
594.40,0.013
594.45,0.012
594.50,0.013
594.55,0.009
594.60,0.014
594.65,0.013
594.70,0.012
594.75,0.011
594.80,0.012
594.85,0.012
594.90,0.011
594.95,0.010
595.00,0.012
595.05,0.010
595.10,0.012
595.15,0.010
595.20,0.010
595.25,0.012
595.30,0.012
595.35,0.017
595.40,0.016
595.45,0.019
595.50,0.015
595.55,0.018
595.60,0.017
595.65,0.019
595.70,0.015
595.75,0.019
595.80,0.015
595.85,0.016
595.90,0.016
595.95,0.017
596.00,0.016
596.05,0.016
596.10,0.016
596.15,0.016
596.20,0.014
596.25,0.016
596.30,0.015
596.35,0.016
596.40,0.015
596.45,0.014
596.50,0.015
596.55,0.014
596.60,0.014
596.65,0.014
