"mrg - RawData"
"Wavelength nm.","Abs."
591.85,0.014
591.90,0.013
591.95,0.014
592.00,0.013
592.05,0.013
592.10,0.013
592.15,0.013
592.20,0.013
592.25,0.013
592.30,0.013
592.35,0.011
592.40,0.012
592.45,0.013
592.50,0.011
592.55,0.012
592.60,0.010
592.65,0.010
592.70,0.011
592.75,0.007
592.80,0.009
592.85,0.010
592.90,0.009
592.95,0.009
593.00,0.013
593.05,0.010
593.10,0.010
593.15,0.008
593.20,0.009
593.25,0.008
593.30,0.007
593.35,0.009
593.40,0.007
593.45,0.009
593.50,0.007
593.55,0.008
593.60,0.007
593.65,0.009
593.70,0.005
593.75,0.009
593.80,0.007
593.85,0.009
593.90,0.008
593.95,0.008
594.00,0.006
594.05,0.006
594.10,0.006
594.15,0.008
594.20,0.006
594.25,0.006
594.30,0.007
594.35,0.007
594.40,0.006
594.45,0.008
594.50,0.006
594.55,0.007
594.60,0.007
594.65,0.007
594.70,0.005
594.75,0.007
594.80,0.006
594.85,0.007
594.90,0.005
594.95,0.006
595.00,0.005
595.05,0.007
595.10,0.005
595.15,0.005
595.20,0.006
595.25,0.006
595.30,0.005
595.35,0.011
595.40,0.010
595.45,0.013
595.50,0.011
595.55,0.013
595.60,0.012
595.65,0.013
595.70,0.010
595.75,0.012
595.80,0.011
595.85,0.012
595.90,0.012
595.95,0.011
596.00,0.012
596.05,0.011
596.10,0.012
596.15,0.010
596.20,0.011
596.25,0.009
596.30,0.013
596.35,0.010
596.40,0.011
596.45,0.009
596.50,0.012
596.55,0.009
596.60,0.009
596.65,0.009
