"rpcc - RawData"
"Wavelength nm.","Abs."
642.90,0.075
643.00,0.070
643.10,0.073
643.20,0.072
643.30,0.070
643.40,0.070
643.50,0.072
643.60,0.072
643.70,0.074
643.80,0.071
643.90,0.071
644.00,0.073
644.10,0.072
644.20,0.074
644.30,0.072
644.40,0.076
644.50,0.071
644.60,0.071
644.70,0.073
644.80,0.073
644.90,0.074
645.00,0.072
645.10,0.073
645.20,0.071
645.30,0.075
645.40,0.067
645.50,0.074
645.60,0.072
645.70,0.069
645.80,0.073
645.90,0.073
646.00,0.075
646.10,0.073
646.20,0.072
646.30,0.070
646.40,0.071
646.50,0.077
646.60,0.076
646.70,0.073
646.80,0.074
646.90,0.069
647.00,0.068
647.10,0.072
647.20,0.076
647.30,0.074
647.40,0.073
647.50,0.074
647.60,0.069
647.70,0.072
647.80,0.070
647.90,0.073
648.00,0.075
648.10,0.075
648.20,0.077
648.30,0.073
648.40,0.070
648.50,0.067
648.60,0.065
648.70,0.071
648.80,0.076
648.90,0.074
649.00,0.078
649.10,0.072
649.20,0.067
649.30,0.066
649.40,0.071
649.50,0.074
649.60,0.072
649.70,0.074
649.80,0.076
649.90,0.070
650.00,0.067
